date,occupancy,price,listings,calendar_file_date,bookings
2019-03-15,0.9328055217214779,104.81617945594803,9852,2019-03-15,9190.0
2019-03-16,0.8632764920828259,104.77517255379618,9852,2019-03-15,8505.0
2019-03-17,0.8180064961429152,102.6809784815266,9852,2019-03-15,8059.000000000001
2019-03-18,0.7977060495330898,102.43666260657734,9852,2019-03-15,7859.0
2019-03-19,0.7965895249695494,102.44904587900933,9852,2019-03-15,7848.000000000001
2019-03-20,0.794762484774665,102.47553796183516,9852,2019-03-15,7830.0
2019-03-21,0.7904993909866017,102.35921640276086,9852,2019-03-15,7788.0
2019-03-22,0.7797401542833943,104.41250507511165,9852,2019-03-15,7682.0
2019-03-23,0.7809581810799837,104.42123426715388,9852,2019-03-15,7694.0
2019-03-24,0.7730410069021518,102.37444173771823,9852,2019-03-15,7616.0
2019-03-25,0.7734470158343484,102.64961429151441,9852,2019-03-15,7620.0
2019-03-26,0.7759845716605765,102.69143321153065,9852,2019-03-15,7645.0
2019-03-27,0.7766950872919204,102.65529841656516,9852,2019-03-15,7652.0
2019-03-28,0.7744620381648396,102.66615915550142,9852,2019-03-15,7630.0
2019-03-29,0.7760860738936257,104.63357693869266,9852,2019-03-15,7646.000000000001
2019-03-30,0.7762890783597239,104.62667478684531,9852,2019-03-15,7648.0
2019-03-31,0.760353227771011,102.65611043442956,9852,2019-03-15,7491.0
2019-04-01,0.7591352009744214,103.19041818920016,9852,2019-03-15,7479.0
2019-04-02,0.7592367032074705,103.21416971173366,9852,2019-03-15,7479.999999999999
2019-04-03,0.7626877791311408,103.29334145351197,9852,2019-03-15,7513.999999999999
2019-04-04,0.7667478684531059,103.50954120990662,9852,2019-03-15,7554.0
2019-04-05,0.7799431587494925,106.68158749492488,9852,2019-03-15,7684.0
2019-04-06,0.8116118554608202,108.22431993503857,9852,2019-03-15,7996.0
2019-04-07,0.8560698335363378,112.11936662606577,9852,2019-03-15,8434.0
2019-04-08,0.9034713763702802,116.24137231019083,9852,2019-03-15,8901.0
2019-04-09,0.916971173365814,116.586784409257,9852,2019-03-15,9034.0
2019-04-10,0.915347137637028,116.42245229395047,9852,2019-03-15,9018.0
2019-04-11,0.8981932602517255,116.25060901339829,9852,2019-03-15,8849.0
2019-04-12,0.8868250101502233,117.56729598051157,9852,2019-03-15,8737.0
2019-04-13,0.8631749898497767,116.80633373934226,9852,2019-03-15,8504.0
2019-04-14,0.7881648396264718,112.13144539179862,9852,2019-03-15,7765.0
2019-04-15,0.7658343483556638,105.74492488834754,9852,2019-03-15,7544.999999999999
2019-04-16,0.7590336987413723,104.20249695493301,9852,2019-03-15,7478.0
2019-04-17,0.758830694275274,103.7787251319529,9852,2019-03-15,7476.0
2019-04-18,0.760353227771011,103.82267559886317,9852,2019-03-15,7491.0
2019-04-19,0.7624847746650426,105.93788063337394,9852,2019-03-15,7512.0
2019-04-20,0.7643118148599269,105.9309784815266,9852,2019-03-15,7530.0
2019-04-21,0.7581201786439302,103.79466098254161,9852,2019-03-15,7469.000000000001
2019-04-22,0.7522330491270808,103.75385708485587,9852,2019-03-15,7411.0
2019-04-23,0.7525375558262282,103.6562119366626,9852,2019-03-15,7414.0
2019-04-24,0.7546691027202599,103.56973203410475,9852,2019-03-15,7435.0
2019-04-25,0.7553796183516037,103.56262687779132,9852,2019-03-15,7442.0
2019-04-26,0.7576126674786845,105.90600893219651,9852,2019-03-15,7464.0
2019-04-27,0.7582216808769793,105.92072675598862,9852,2019-03-15,7470.0
2019-04-28,0.7461429151441332,103.63936256597646,9852,2019-03-15,7351.000000000001
