date,occupancy,price,listings,calendar_file_date,bookings
2019-01-03,0.7971008258774949,94.2130591477634,23248,2018-12-10,18531.0
2019-01-04,0.778819683413627,89.25729288214703,23248,2018-12-10,18106.0
2019-01-05,0.76668960770819,87.79129793510324,23248,2018-12-10,17824.0
2019-01-06,0.7500860289057123,84.3185886402754,23248,2018-12-10,17438.0
2019-01-07,0.7403647625602202,81.90987408880054,23248,2018-12-10,17212.0
2019-01-08,0.7389022711631108,81.89308072487644,23248,2018-12-10,17178.0
2019-01-09,0.7394614590502409,82.05662869407297,23248,2018-12-10,17191.0
2019-01-10,0.7458275980729525,82.45574547300728,23248,2018-12-10,17339.0
2019-01-11,0.7527529249827942,84.50904662491301,23248,2018-12-10,17500.0
2019-01-12,0.7553768066070199,84.96430455424652,23248,2018-12-10,17561.0
2019-01-13,0.7454834824501032,82.10021970593206,23248,2018-12-10,17331.0
2019-01-14,0.9950147292091548,48.21323362791752,8826,2019-01-14,8782.0
2019-01-15,0.9017195879799098,61.174512641525496,23494,2019-01-14,21185.0
2019-01-16,0.8539201498254874,61.05835532476377,23494,2019-01-14,20062.0
2019-01-17,0.8364263216140291,60.9036349706308,23494,2019-01-14,19651.0
2019-01-18,0.8357452966714906,100.01340767855622,23494,2019-01-14,19635.0
2019-01-19,0.8335745296671491,100.06857069890185,23494,2019-01-14,19584.0
2019-01-20,0.8019068698391079,60.51791946880054,23494,2019-01-14,18840.0
2019-01-21,0.7886694475185154,60.426534434323656,23494,2019-01-14,18529.0
2019-01-22,0.7780709968502596,60.44794415595471,23494,2019-01-14,18280.0
2019-01-23,0.7787520217927981,60.48050566101983,23494,2019-01-14,18296.0
2019-01-24,0.7905422661104963,60.682642376777046,23494,2019-01-14,18573.0
2019-01-25,0.8058653273176131,100.11530603558356,23494,2019-01-14,18933.0
2019-01-26,0.8097812207372095,100.23972077977356,23494,2019-01-14,19025.0
2019-01-27,0.7785392014982548,60.672512130756786,23494,2019-01-14,18291.0
2019-01-28,0.7647910104707585,60.45798927385715,23494,2019-01-14,17968.0
2019-01-29,0.7600663999318975,60.43538775857666,23494,2019-01-14,17857.0
2019-01-30,0.7627053715842342,60.60032348684771,23494,2019-01-14,17919.0
2019-01-31,0.7678981867710905,60.742359751425894,23494,2019-01-14,18041.0
2019-02-01,0.7787094577338896,100.50646973695412,23494,2019-01-14,18295.0
2019-02-02,0.7810079169149571,100.59840810419682,23494,2019-01-14,18349.0
2019-02-03,0.7618115263471524,61.263684344939136,23494,2019-01-14,17898.0
2019-02-04,0.7590874265769983,61.337916063675834,23494,2019-01-14,17834.0
2019-02-05,0.7691325444794416,62.02196305439687,23494,2019-01-14,18070.0
2019-02-06,0.9475839475839476,58.75511875511876,17094,2019-02-06,16198.0
2019-02-07,0.9489956257697372,62.00586061918716,23547,2019-02-06,22346.0
2019-02-08,0.9165923472204527,100.75954474030662,23547,2019-02-06,21583.0
2019-02-09,0.8927676561770077,100.67201766679408,23547,2019-02-06,21022.0
2019-02-10,0.8514035758270693,61.04336008833397,23547,2019-02-06,20048.0
2019-02-11,0.844736059795303,60.97451904701236,23547,2019-02-06,19891.0
2019-02-12,0.8367944961141547,60.98263048371342,23547,2019-02-06,19704.0
2019-02-13,0.8297872340425532,61.023824691043444,23547,2019-02-06,19539.0
2019-02-14,0.8277912260585213,61.13003779674693,23547,2019-02-06,19492.0
2019-02-15,0.8353081071898756,100.38998598547586,23547,2019-02-06,19669.0
2019-02-16,0.8305941308871618,100.39087781883042,23547,2019-02-06,19558.0
2019-02-17,0.7985305983777127,60.879687433643355,23547,2019-02-06,18803.0
2019-02-18,0.7872340425531915,60.515012528135216,23547,2019-02-06,18537.0
2019-02-19,0.7858325901388712,60.52745572684418,23547,2019-02-06,18504.0
2019-02-20,0.7838365821548392,60.52490763154542,23547,2019-02-06,18457.0
